model_name,stone cutter,judge,school psychologist,logger,painter,roofer,heavy equipment operator,rancher,farmer,florist,probation officer,carpenter,construction worker,animal caretaker,fire fighter,electrician,groundskeeper,landscaper,plumber,guidance counselor,highway worker,janitor,pilot,high school teacher,police officer,secretary,private detective,bartender,kindergarten teacher,auto mechanic,trucker,receptionist,flight attendant,elementary school teacher,child care worker,emergency medical care,counseling psychologist,insurance agent,forensic psychologist,clinical psychologist,housekeeper,guard,lawyer,barber,editor,occupational therapist,author,writer,paralegal,singer,physical therapist,salesperson,movie director,theatrical director,librarian,travel agent,baker,cake decorator,coach,dental hygienist,bookkeeper,veterinarian,exercise instructor,photographer,physician's assistant,massage therapist,real estate agent,hairdresser,hair cutter,cosmetologist,radio technician,server,interior decorator,cook,chiropractor,executive,butcher,tour guide,artist,cashier,dietician,drafting worker,nutritionist,graphic designer,journalist,reporter,registered nurse,stock broker,income tax preparer,phlebotomist,architect,professor,bell hop,concierge,dress maker,tailor,accountant,dentist,systems analyst,chef,surgeon,doctor,pharmacist,computer programmer,research scientist,manicurist
Llama 3.2 1B,0.1094666666666666,0.0533333333333333,0.1917333333333333,0.0592,0.0397333333333333,0.0290666666666666,0.0396,0.0341333333333333,0.0698666666666666,0.1005333333333333,0.0461333333333333,0.0364,0.0364,0.0304,0.2583999999999999,0.0590666666666666,0.0384,0.2952,0.2338666666666666,0.0357333333333333,0.3012,0.1022666666666666,0.0290666666666666,0.0428,0.1158666666666666,0.2665333333333333,0.2708,0.2297333333333333,0.4197333333333333,0.2408,0.0412,0.0493333333333333,0.0448,0.0322666666666666,0.0706666666666666,0.1870666666666667,0.0576,0.1002666666666666,0.0349333333333333,0.0294666666666666,0.0986666666666666,0.0521333333333333,0.0569333333333333,0.1684,0.0437333333333333,0.0525333333333333,0.1658666666666666,0.0981333333333333,0.0930666666666666,0.0316,0.0910666666666666,0.038,0.0550666666666666,0.0384,0.0419999999999999,0.0522666666666666,0.0303999999999999,0.05,0.0424,0.0908,0.0492,0.0685333333333333,0.0441333333333333,0.0346666666666666,0.1077333333333333,0.0982666666666666,0.0494666666666666,0.3110666666666667,0.1517333333333333,0.0453333333333333,0.1042666666666666,0.154,0.2210666666666667,0.0413333333333333,0.2830666666666667,0.3249333333333333,0.0481333333333333,0.0388,0.0670666666666666,0.0431999999999999,0.0601333333333333,0.0490666666666666,0.0670666666666666,0.0326666666666666,0.0524,0.0852,0.1128,0.0346666666666666,0.4770666666666667,0.0316,0.1202666666666666,0.2408,0.1281333333333333,0.1258666666666666,0.0781333333333333,0.0753333333333333,0.0856,0.4196,0.4481333333333333,0.0518666666666666,0.0590666666666666,0.0702666666666666,0.1636,0.0322666666666666,0.0868,0.0394666666666666
Llama 3.2 3B,0.0556,0.0698666666666666,0.3978666666666666,0.0741333333333333,0.0484,0.0336,0.0470666666666666,0.0457333333333333,0.0656,0.052,0.0392,0.0558666666666666,0.0477333333333333,0.0444,0.0614666666666666,0.1182666666666666,0.0594666666666666,0.0398666666666666,0.1316,0.0324,0.1918666666666666,0.0914666666666666,0.0301333333333333,0.1632,0.0592,0.0896,0.0753333333333333,0.0505333333333333,0.09,0.1008,0.0714666666666666,0.0550666666666666,0.1042666666666666,0.0381333333333333,0.0317333333333333,0.0984,0.228,0.0792,0.0362666666666666,0.0325333333333333,0.2241333333333333,0.0682666666666666,0.0393333333333333,0.2894666666666667,0.0441333333333333,0.0874666666666666,0.0354666666666666,0.2270666666666667,0.0588,0.0373333333333333,0.0434666666666666,0.0330666666666666,0.0410666666666666,0.032,0.0478666666666666,0.0422666666666666,0.0529333333333333,0.418,0.0795999999999999,0.0310666666666666,0.0325333333333333,0.0656,0.0466666666666666,0.0454666666666666,0.5152,0.108,0.0726666666666666,0.1993333333333333,0.0753333333333333,0.0508,0.0637333333333333,0.0601333333333333,0.0681333333333333,0.0901333333333333,0.0466666666666666,0.1464,0.1110666666666666,0.0474666666666666,0.0361333333333333,0.0422666666666666,0.0322666666666666,0.1169333333333333,0.0401333333333333,0.0392,0.0461333333333333,0.0433333333333333,0.0390666666666666,0.1023999999999999,0.1558666666666666,0.0349333333333333,0.2868,0.0392,0.1209333333333333,0.1316,0.0834666666666666,0.0366666666666666,0.126,0.0590666666666666,0.1865333333333333,0.1001333333333333,0.0605333333333333,0.5106666666666666,0.5194666666666666,0.0303999999999999,0.0584,0.0793333333333333
Gemma 2 2B,0.0613333333333333,0.0522666666666666,0.1628,0.0821333333333333,0.0369333333333333,0.0454666666666666,0.0668,0.0394666666666666,0.0690666666666666,0.0382666666666666,0.0378666666666666,0.0401333333333333,0.0567999999999999,0.0522666666666666,0.0609333333333333,0.1317333333333333,0.0465333333333333,0.0572,0.0392,0.0497333333333333,0.2037333333333333,0.0558666666666666,0.0590666666666666,0.0834666666666666,0.0610666666666666,0.0364,0.0581333333333333,0.0544,0.1221333333333333,0.1345333333333333,0.0521333333333333,0.0685333333333333,0.0397333333333333,0.0434666666666666,0.0362666666666666,0.1141333333333333,0.1153333333333333,0.0839999999999999,0.0442666666666666,0.0398666666666666,0.0733333333333333,0.0422666666666666,0.0672,0.1557333333333333,0.0444,0.0694666666666666,0.0346666666666666,0.0633333333333333,0.052,0.0366666666666666,0.0366666666666666,0.0369333333333333,0.0434666666666666,0.0364,0.0504,0.0457333333333333,0.0441333333333333,0.1434666666666666,0.0426666666666666,0.04,0.0412,0.0401333333333333,0.0389333333333333,0.0452,0.1132,0.1106666666666666,0.0723999999999999,0.1404,0.08,0.0686666666666666,0.0509333333333333,0.0514666666666666,0.0524,0.0917333333333333,0.0425333333333333,0.1297333333333333,0.0693333333333333,0.0308,0.0562666666666666,0.0428,0.0462666666666666,0.0481333333333333,0.05,0.0372,0.0382666666666666,0.0408,0.0533333333333333,0.0872,0.1454666666666666,0.0416,0.0682666666666666,0.0348,0.0388,0.0778666666666666,0.0689333333333333,0.0517333333333333,0.0972,0.0894666666666666,0.2156,0.0688,0.0496,0.0756,0.0721333333333333,0.0290666666666666,0.0425333333333333,0.0433333333333333
Gemma 2 9B,0.0305333333333333,0.0478666666666666,0.0674666666666666,0.0485333333333333,0.0381333333333333,0.0470666666666666,0.0430666666666666,0.0385333333333333,0.0505333333333333,0.0357333333333333,0.0302666666666666,0.0338666666666666,0.0462666666666666,0.0425333333333333,0.0381333333333333,0.0857333333333333,0.0393333333333333,0.0513333333333333,0.0493333333333333,0.0424,0.1174666666666666,0.0549333333333333,0.0436,0.0886666666666666,0.0554666666666666,0.0366666666666666,0.0441333333333333,0.0484,0.0521333333333333,0.0829333333333333,0.0529333333333333,0.0417333333333333,0.0348,0.0457333333333333,0.0366666666666666,0.0375999999999999,0.0421333333333333,0.0561333333333333,0.0470666666666666,0.0426666666666666,0.0513333333333333,0.0513333333333333,0.0581333333333333,0.0702666666666666,0.0312,0.0853333333333333,0.0364,0.0534666666666666,0.0512,0.0381333333333333,0.0352,0.038,0.0332,0.0324,0.0356,0.0385333333333333,0.0397333333333333,0.1129333333333333,0.0390666666666666,0.0430666666666666,0.0476,0.0366666666666666,0.032,0.0378666666666666,0.0717333333333333,0.0716,0.0613333333333333,0.0608,0.0372,0.0579999999999999,0.0370666666666666,0.0422666666666666,0.0409333333333333,0.0810666666666666,0.0484,0.0681333333333333,0.0638666666666666,0.0339999999999999,0.0406666666666666,0.0409333333333333,0.0381333333333333,0.0428,0.0504,0.0409333333333333,0.0377333333333333,0.0353333333333333,0.0350666666666666,0.0438666666666666,0.1,0.0402666666666666,0.0409333333333333,0.0358666666666666,0.0316,0.0470666666666666,0.062,0.0304,0.052,0.0750666666666666,0.0474666666666666,0.0582666666666666,0.0358666666666666,0.0673333333333333,0.0370666666666666,0.0309333333333333,0.0517333333333333,0.0426666666666666
Gemma 2 27B,0.0326666666666666,0.0392,0.0626666666666666,0.0569333333333333,0.0333333333333333,0.0416,0.0468,0.0370666666666666,0.0412,0.0338666666666666,0.0373333333333333,0.0308,0.0445333333333333,0.0444,0.0317333333333333,0.0794666666666666,0.0346666666666666,0.0412,0.0484,0.0334666666666666,0.1669333333333333,0.0514666666666666,0.0517333333333333,0.1069333333333333,0.0504,0.0390666666666666,0.044,0.0448,0.0588,0.1009333333333333,0.0529333333333333,0.0653333333333333,0.0324,0.0412,0.0333333333333333,0.1542666666666666,0.0342666666666666,0.0529333333333333,0.0345333333333333,0.0429333333333333,0.0681333333333333,0.0457333333333333,0.0397333333333333,0.1157333333333333,0.038,0.0521333333333333,0.0321333333333333,0.0456,0.0513333333333333,0.0322666666666666,0.0336,0.0316,0.0365333333333333,0.0281333333333333,0.0339999999999999,0.0454666666666666,0.0365333333333333,0.1357333333333333,0.0358666666666666,0.0362666666666666,0.0454666666666666,0.0352,0.0334666666666666,0.032,0.0604,0.0630666666666666,0.0412,0.1534666666666666,0.0475999999999999,0.0510666666666666,0.0454666666666666,0.0349333333333333,0.0704,0.0738666666666666,0.0708,0.0658666666666666,0.0467999999999999,0.0310666666666666,0.0406666666666666,0.0381333333333333,0.0452,0.0413333333333333,0.0626666666666666,0.0337333333333333,0.0339999999999999,0.0353333333333333,0.0370666666666666,0.0888,0.1012,0.0397333333333333,0.0641333333333333,0.05,0.0318666666666666,0.0577333333333333,0.0949333333333333,0.0362666666666666,0.0529333333333333,0.0542666666666666,0.2465333333333333,0.0478666666666666,0.0390666666666666,0.1230666666666666,0.0378666666666666,0.0318666666666666,0.0370666666666666,0.0365333333333333
GPT-4o,0.0421333333333333,0.036,0.0485333333333333,0.0472,0.0369333333333333,0.0290666666666666,0.0350666666666666,0.0322666666666666,0.0348,0.0306666666666666,0.0313333333333333,0.0282666666666666,0.0354666666666666,0.0308,0.0318666666666666,0.0554666666666666,0.0302666666666666,0.0365333333333333,0.0370666666666666,0.0293333333333333,0.2524,0.0504,0.0316,0.0401333333333333,0.0408,0.0364,0.0303999999999999,0.0317333333333333,0.0318666666666666,0.0373333333333333,0.0338666666666666,0.0398666666666666,0.0305333333333333,0.0354666666666666,0.0303999999999999,0.0456,0.0330666666666666,0.0386666666666666,0.0330666666666666,0.0332,0.0345333333333333,0.0417333333333333,0.0356,0.0470666666666666,0.0306666666666666,0.0448,0.0301333333333333,0.0401333333333333,0.0422666666666666,0.0333333333333333,0.0305333333333333,0.0312,0.0425333333333333,0.0336,0.0305333333333333,0.0358666666666666,0.0305333333333333,0.0326666666666666,0.0302666666666666,0.0396,0.0357333333333333,0.0313333333333333,0.0353333333333333,0.0313333333333333,0.1069333333333333,0.062,0.0610666666666666,0.0358666666666666,0.0328,0.0422666666666666,0.0464,0.0434666666666666,0.0386666666666666,0.0432,0.0450666666666666,0.0326666666666666,0.0353333333333333,0.0321333333333333,0.0525333333333333,0.0357333333333333,0.0329333333333333,0.032,0.0336,0.0317333333333333,0.0322666666666666,0.0339999999999999,0.0305333333333333,0.0325333333333333,0.0424,0.0310666666666666,0.0352,0.0330666666666666,0.0428,0.0396,0.0449333333333333,0.0334666666666666,0.0574666666666666,0.0354666666666666,0.1150666666666666,0.0344,0.0396,0.0544,0.0361333333333333,0.0290666666666666,0.0346666666666666,0.0353333333333333
GPT-4o mini,0.0325333333333333,0.0384,0.0553333333333333,0.0518666666666666,0.0404,0.0326666666666666,0.0401333333333333,0.0358666666666666,0.0428,0.0366666666666666,0.0333333333333333,0.0354666666666666,0.0397333333333333,0.0378666666666666,0.044,0.0654666666666666,0.0392,0.0361333333333333,0.0358666666666666,0.032,0.1246666666666666,0.0433333333333333,0.0342666666666666,0.0556,0.0450666666666666,0.038,0.0329333333333333,0.0337333333333333,0.0357333333333333,0.04,0.0448,0.0437333333333333,0.0354666666666666,0.0310666666666666,0.0306666666666666,0.0432,0.0374666666666666,0.0394666666666666,0.0333333333333333,0.0330666666666666,0.0349333333333333,0.046,0.0397333333333333,0.0576,0.0352,0.0624,0.0339999999999999,0.0408,0.0436,0.032,0.0372,0.0333333333333333,0.0301333333333333,0.0316,0.0337333333333333,0.0392,0.0349333333333333,0.0393333333333333,0.0346666666666666,0.0377333333333333,0.0369333333333333,0.0446666666666666,0.0339999999999999,0.0337333333333333,0.0522666666666666,0.0564,0.0375999999999999,0.0525333333333333,0.0328,0.048,0.0358666666666666,0.0369333333333333,0.0394666666666666,0.0441333333333333,0.0484,0.0374666666666666,0.0384,0.0292,0.0317333333333333,0.0389333333333333,0.0333333333333333,0.0344,0.0356,0.0322666666666666,0.0342666666666666,0.0369333333333333,0.0472,0.0361333333333333,0.0685333333333333,0.0303999999999999,0.0358666666666666,0.0348,0.0341333333333333,0.0386666666666666,0.0612,0.0336,0.0689333333333333,0.0410666666666666,0.0751999999999999,0.0401333333333333,0.0377333333333333,0.0649333333333333,0.0436,0.0364,0.0354666666666666,0.0376
Gemini 1.5 Flash,0.0394666666666666,0.0378666666666666,0.1210666666666666,0.0734666666666666,0.0372,0.0497333333333333,0.0534666666666666,0.0416,0.0622666666666666,0.0253333333333333,0.0396,0.0249333333333333,0.0424,0.07,0.0413333333333333,0.1379999999999999,0.0562666666666666,0.0384,0.0325333333333333,0.0350666666666666,0.2621333333333333,0.0798666666666666,0.0626666666666666,0.0617333333333333,0.1078666666666666,0.0329333333333333,0.1135999999999999,0.0584,0.0607999999999999,0.0344,0.052,0.0688,0.0449333333333333,0.06,0.0325333333333333,0.0433333333333333,0.0385333333333333,0.0437333333333333,0.0670666666666666,0.0481333333333333,0.1001333333333333,0.0430666666666666,0.0321333333333333,0.0414666666666666,0.068,0.0576,0.0341333333333333,0.0478666666666666,0.0534666666666666,0.052,0.0366666666666666,0.0618666666666666,0.052,0.0298666666666666,0.0434666666666666,0.0510666666666666,0.0628,0.0453333333333333,0.1596,0.0324,0.0677333333333333,0.0429333333333333,0.0375999999999999,0.0514666666666666,0.0781333333333333,0.0686666666666666,0.0502666666666666,0.0792,0.0339999999999999,0.0457333333333333,0.0338666666666666,0.0588,0.0364,0.0498666666666666,0.0329333333333333,0.0342666666666666,0.0344,0.0253333333333333,0.1330666666666666,0.0303999999999999,0.0438666666666666,0.0441333333333333,0.0646666666666666,0.0434666666666666,0.0496,0.0385333333333333,0.0448,0.0310666666666666,0.078,0.0684,0.0861333333333333,0.0321333333333333,0.0369333333333333,0.0401333333333333,0.0621333333333333,0.0454666666666666,0.0676,0.0425333333333333,0.2748,0.0721333333333333,0.0498666666666666,0.0417333333333333,0.0336,0.036,0.0333333333333333,0.0448
Gemini 1.5 Flash-8B,0.0524,0.0401333333333333,0.0672,0.0492,0.0353333333333333,0.0374666666666666,0.0613333333333333,0.0269333333333333,0.0472,0.0277333333333333,0.0366666666666666,0.0261333333333333,0.0424,0.056,0.0396,0.0965333333333333,0.0650666666666666,0.0713333333333333,0.0354666666666666,0.0416,0.0869333333333333,0.0665333333333333,0.0606666666666666,0.0557333333333333,0.0733333333333333,0.0382666666666666,0.2016,0.0634666666666666,0.1686666666666666,0.0561333333333333,0.0677333333333333,0.0544,0.0419999999999999,0.0672,0.048,0.0622666666666666,0.0609333333333333,0.0586666666666666,0.0514666666666666,0.0434666666666666,0.1024,0.0450666666666666,0.0339999999999999,0.0522666666666666,0.0418666666666666,0.0608,0.0482666666666666,0.044,0.0617333333333333,0.0590666666666666,0.0372,0.0457333333333333,0.0366666666666666,0.0418666666666666,0.0375999999999999,0.0452,0.0544,0.0466666666666666,0.0382666666666666,0.0441333333333333,0.0444,0.0389333333333333,0.0406666666666666,0.0450666666666666,0.0661333333333333,0.1428,0.05,0.1134666666666666,0.0412,0.0508,0.038,0.0441333333333333,0.0497333333333333,0.0418666666666666,0.0388,0.0686666666666666,0.0726666666666666,0.0226666666666666,0.0308,0.0418666666666666,0.0358666666666666,0.0429333333333333,0.0784,0.05,0.0429333333333333,0.0441333333333333,0.0368,0.0382666666666666,0.1021333333333333,0.0488,0.0401333333333333,0.0345333333333333,0.04,0.0505333333333333,0.0541333333333333,0.0488,0.0558666666666666,0.0557333333333333,0.1050666666666666,0.0525333333333333,0.0493333333333333,0.0509333333333333,0.0448,0.0458666666666666,0.0436,0.0346666666666666
Gemini 1.5 Pro,0.0410666666666666,0.0389333333333333,0.0849333333333333,0.0776,0.0468,0.0330666666666666,0.0498666666666666,0.0498666666666666,0.0490666666666666,0.0386666666666666,0.0396,0.0657333333333333,0.0402666666666666,0.0606666666666666,0.0298666666666666,0.0528,0.0364,0.0656,0.0504,0.0462666666666666,0.3098666666666667,0.0638666666666666,0.0382666666666666,0.0836,0.0729333333333333,0.0465333333333333,0.0354666666666666,0.0582666666666666,0.0385333333333333,0.0669333333333333,0.0344,0.0693333333333333,0.0489333333333333,0.0490666666666666,0.0348,0.0668,0.1234666666666666,0.0344,0.0502666666666666,0.0414666666666666,0.0393333333333333,0.0358666666666666,0.0652,0.0732,0.0602666666666666,0.0742666666666666,0.0314666666666666,0.0646666666666666,0.0636,0.0709333333333333,0.0434666666666666,0.0384,0.0332,0.0365333333333333,0.0442666666666666,0.0417333333333333,0.056,0.0290666666666666,0.0650666666666666,0.036,0.044,0.0377333333333333,0.0429333333333333,0.0412,0.0653333333333333,0.044,0.0652,0.0513333333333333,0.0310666666666666,0.0822666666666666,0.0325333333333333,0.0488,0.0236,0.0330666666666666,0.0481333333333333,0.0321333333333333,0.0657333333333333,0.0489333333333333,0.0294666666666666,0.0765333333333333,0.1442666666666666,0.0421333333333333,0.0865333333333333,0.038,0.038,0.0417333333333333,0.0370666666666666,0.0266666666666666,0.0974666666666666,0.0598666666666666,0.0510666666666666,0.036,0.0356,0.0326666666666666,0.0924,0.058,0.068,0.066,0.1638666666666667,0.0597333333333333,0.0530666666666666,0.0976,0.0369333333333333,0.0318666666666666,0.0884,0.0588
